,Ahban,e754
,Ahikam,e689
,Ahitub,e7dd
,Aijalon,e428
,air,e312
,Akkub,e725
,all,e251
,Anathoth_man,e75b
,anger,e204
,animal,e102
,Argob_man,e71e
,Arieh,e6a3
,around,e31b
,Attai,e750
,backward,e325
,banner,e2b1
,Beeroth,e42b
,Bekorath,e6cd
,belt,e29d
,Beth_Aven,e546
,Betonim,e548
,big,e120
,bird,e25c
,boat,e265
,bone,e0b2
,book,e22a
,bowl,e384
,box,e29e
,building,e0a1
,Bunah,e76a
,camel,e29f
,chain,e25f
,chair,e298
,change,e31e
,closed,e23f
,clothing,e253
,color,e284
,cow,eb36
,cross,e038
,cup,e274
,deep,e321
,direction,e323
,door,e23e
,down,e319
,ear,e299
,eight,e293
,Elead,e76d
,end,e232
,Ephlal,e770
,Eshtemoa_man,e711
,Eshton,e712
,eye,e238
,face,e203
,fire,e301
,fish,e263
,five,e290
,flip,e31d
,flower,eb24
,fly,e25b
,forward,e318
,four,e28f
,fruit,e27e
,Gallim,e7ea
,gathered,e108
,Gazez,e771
,go,e381
,good,e096
,grain,e279
,grass,ea33
,half,ea22
,Hamath,e716
,hand,e071
,Hashubah,e6f1
,Haziel,e7b5
,heart,e29a
,Hod,e7b7
,hole,e302
,Horesh,e7eb
,horse,e303
,house,e171
,insect,e304
,Jehallelel,e6db
,Jeriel,e74e
,king,e028
,knife,e24e
,know,e062
,land,e153
,left,e0f4
,Lehi,e562
,love,e01a
,man,e000
,many,e198
,Marduk_Baladan,e6b4
,me,e166
,measure,e305
,Mered,e72b
,Meshobab,e72c
,metal,eb28
,Miriam_man,e72d
,money,e029
,moon,e272
,mountain,e306
,mouth,e03f
,near,e300
,net,e307
,Netaim,e732
,Netophah,e7a4
,new,e308
,nine,e294
,no,e17c
,nose,e309
,number,e0b7
,Ohel,e733
,one,e28c
,or,e106
,Oren,e7a5
,Ozem,e7a6
,part,e29b
,Pasak,e7a7
,Paseah,e726
,Pedaiah,e6ba
,Pekahiah,e6bb
,Pelaiah,e734
,Pelatiah,e735
,Pelet,e7a8
,pen,e29c
,Peresh,e7a9
,period,e37e
,person,e11f
,Pethahiah,e7b1
,pig,e30a
,Pispah,e7aa
,pn,ed11
,pos,e390
,questionmark,e316
,Raddai,e7ab
,Raham,e78a
,Rakem,e78b
,Regem,e78c
,Rekah,e736
,Rephah,e78d
,Resheph,e78e
,Rezeph,e6bc
,right,e0f3
,Rinnah,e737
,river,e30b
,Rizia,e78f
,Rizpah,e755
,road,e23c
,Rohgah,e790
,Rumah,e6bd
,sad,e207
,Salma,e791
,same,e24b
,Saph,e756
,Saraph,e738
,Seled,e792
,Seorim,e7b2
,seven,e292
,Shaaph,e793
,Shaaraim,e6d1
,shake,e27d
,Shamgar,e5b5
,Shammai,e739
,Shebaniah,e795
,Sheber,e796
,Sheerah,e794
,Shekaniah,e73a
,Shelesh,e797
,Shemaiah,e786
,Shemariah,e787
,Shemer,e697
,Shemiramoth,e798
,Shenazzar,e73b
,Sheresh,e799
,Sheshan,e79a
,Sheva,e79b
,shield,e388
,Shikkeron,e542
,six,e291
,small,e19b
,snake,e30c
,soft,e268
,Soko,e741
,spot,ed01
,stair,e0d9
,star,e0c3
,start,e231
,stick,e398
,storm,e27c
,straight,e313
,stretch,e31c
,string,ecc7
,sun,e15f
,sweet,e30d
,sword,e282
,table,e280
,Tebah_village,e742
,ten,e295
,thing,e105
,thorn,e27b
,thousand,e296
,three,e28e
,throw,e327
,tie,e30e
,Tikvah,e68f
,Tilon,e745
,time,e16a
,together_people,e126
,tool,eb34
,tower,e30f
,tree,e244
,two,e28d
,up,e315
,valley,eba7
,very,e211
,walk,e256
,wall,e288
,war,e283
,water,e247
,whip,e310
,window,e311
,woman,e008
,work,e08c
,you,e314
,Zabud,e5ae
,zero,e28b
,Zoan,e1f3
